dwr_id,dau,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Shrub/Scrub,Woody Wetlands
100_44,036,,,0.02,,,,0.03,,0.52,0.13,0.10,,,,0.21,
100_45,036,,,0.01,,,,0.01,,0.48,0.07,0.10,0.00,,,0.33,
100_45,040,,,0.01,,,,0.04,,0.34,0.21,0.14,0.00,,,0.25,
100_46,040,,0.02,0.03,,0.01,0.00,0.03,,0.46,0.07,0.16,0.00,,,0.20,0.00
100_47,040,0.00,0.42,0.00,0.01,0.15,0.10,0.11,,0.05,0.05,0.04,0.00,,,0.05,0.00
100_48,040,0.00,0.23,0.00,0.00,0.02,0.00,0.04,0.00,0.17,0.18,0.11,0.00,,,0.24,0.00
100_49,040,0.00,0.00,0.00,,0.00,,0.02,0.03,0.15,0.19,0.14,0.16,,,0.29,0.01
100_50,040,,0.03,0.07,,0.00,,0.01,,0.19,0.09,0.20,,,,0.41,
100_51,040,,0.11,0.02,,0.00,,0.02,,0.13,0.08,0.12,0.00,,,0.51,0.00
100_51,175,,0.01,0.01,,0.00,,0.01,,0.14,0.06,0.23,,,,0.52,0.00
100_52,175,0.00,,0.03,,0.01,0.00,0.01,0.00,0.15,0.06,0.21,0.06,,,0.46,0.01
100_53,175,,,0.04,0.00,0.04,0.01,0.06,0.01,0.05,0.03,0.27,0.11,,,0.36,0.01
100_54,175,0.00,,0.07,,0.00,,0.02,0.00,0.12,0.04,0.31,0.11,,,0.32,0.01
100_55,162,,,0.01,,,,0.15,,0.00,0.50,0.02,,,,0.28,0.03
100_55,175,,,0.01,,0.01,0.00,0.03,,0.13,0.08,0.24,0.02,,,0.47,0.01
100_55,191,,,0.01,,,,,,0.12,0.09,0.26,,,,0.52,0.01
100_56,162,0.00,0.02,0.00,,0.00,0.00,0.08,,0.00,0.81,0.01,0.01,,,0.05,0.01
100_56,191,0.00,0.05,0.00,,0.00,,0.03,,0.02,0.56,0.15,0.01,,,0.11,0.05
100_57,162,0.00,0.66,,0.00,0.02,0.02,0.08,,,0.15,,0.01,0.02,,0.00,0.03
100_57,191,0.02,0.62,0.00,0.00,0.01,,0.08,,,0.16,0.00,0.01,0.02,,0.01,0.05
100_58,162,0.01,0.29,,0.05,0.25,0.29,0.00,,,0.04,,,,,,0.07
100_58,191,0.02,0.79,,0.00,0.02,0.00,0.06,0.00,,0.09,,,0.01,,,0.00
100_59,191,0.00,0.91,,,0.00,,0.02,0.00,,0.00,,,0.07,,,
100_60,191,,0.95,,,0.00,,0.04,,,,,,0.01,,,
100_61,191,,0.93,,0.01,0.01,0.01,0.04,0.00,,,,,,,,
100_62,162,,0.11,,,0.11,,0.35,0.02,,0.29,,,,,,0.10
100_62,191,,0.82,,0.01,0.01,0.01,0.05,0.01,,0.02,,,0.06,,,0.01
100_63,191,,0.83,,,,0.00,0.04,0.00,,0.01,,,0.10,,,0.01
100_64,162,,0.97,,0.01,0.01,,0.01,,,,,,0.00,,,
100_64,186,,0.82,,,,,,,,,,,0.18,,,
100_64,191,0.00,0.78,,0.00,0.00,0.00,0.04,0.09,,0.07,,,0.01,,,0.00
100_65,186,,0.86,,,,,0.01,0.07,,0.01,,0.01,0.03,,,
100_65,191,,0.90,,,,,0.01,0.02,,0.03,,,0.04,,,0.00
100_66,186,0.01,0.61,,0.00,0.03,0.03,0.05,0.11,,0.06,,0.09,0.02,,,0.00
100_66,191,,1.00,,,,,,,,,,,,,,
100_67,173,,,,0.03,0.33,0.39,0.25,,,,,,,,,
100_67,186,0.00,0.21,,0.02,0.32,0.22,0.10,0.01,,0.02,,0.08,0.02,,,0.00
100_68,173,,,,0.12,0.27,0.37,0.25,,,,,,,,,
100_68,186,,,,0.05,0.35,0.44,0.16,,,,,,,,,
100_69,173,,,,0.19,0.18,0.51,0.12,,,,,,,,,
100_70,173,,0.02,,0.24,0.16,0.34,0.22,0.00,,0.02,,,0.00,,,
100_71,173,0.05,0.15,,0.06,0.06,0.07,0.15,0.07,,0.27,,0.00,0.12,,,0.00
100_72,173,0.05,0.04,,0.00,0.02,0.02,0.09,0.03,,0.52,,0.01,0.23,,,0.00
100_73,173,0.03,0.03,,0.00,0.00,0.00,0.07,0.00,,0.77,,0.01,0.08,,,
100_74,173,0.00,0.00,,,0.00,,0.10,0.00,,0.88,,0.01,,,,0.00
100_74,180,,,0.01,,0.01,,0.09,,,0.87,,,0.03,,,0.00
100_75,173,,,,,,,0.20,,,0.80,,,,,,
100_75,180,0.01,0.07,0.00,0.00,0.00,0.00,0.01,0.00,,0.77,,0.00,0.13,,,0.00
100_76,180,0.00,0.02,0.02,,0.00,,0.04,,0.01,0.85,0.01,0.01,0.04,,0.00,0.01
100_77,176,0.01,,0.12,,0.01,0.00,0.05,,0.00,0.69,,0.08,,,0.01,0.02
100_77,180,0.00,,0.05,,0.20,0.03,0.25,,0.00,0.43,0.00,0.01,,,0.00,0.02
100_78,176,0.00,,0.15,,,,0.02,,0.02,0.77,0.00,0.00,,,0.03,0.00
100_78,180,,,,,,,0.11,,,0.75,,,,,,0.14
100_79,176,,,0.28,,0.00,,,,0.03,0.60,0.01,0.00,,,0.08,
100_80,176,,,0.12,,0.00,,0.02,,0.05,0.49,,0.00,,,0.32,
100_81,176,,,0.27,,,,,,0.23,0.22,0.00,0.00,,,0.28,
100_82,176,,0.00,0.28,,,,0.02,,0.31,0.29,0.00,0.00,0.01,,0.09,
100_83,176,,0.03,0.03,,,,0.03,,0.09,0.55,0.00,0.00,0.17,,0.10,
100_84,176,,,0.04,,0.00,,0.03,,0.40,0.40,0.01,0.00,0.02,,0.10,
100_85,176,,,0.07,,,,,,0.41,0.37,0.05,0.00,,,0.09,
100_86,176,,,0.05,,,,0.01,0.00,0.57,0.13,0.12,,,,0.12,
100_87,176,,,0.02,,,,0.00,0.01,0.61,0.05,0.06,0.00,,,0.25,
100_88,176,,,0.01,,,,0.00,0.01,0.65,0.03,0.04,,,,0.26,
100_89,176,,,0.00,,,,0.02,0.00,0.86,0.00,0.01,,,,0.11,
100_90,176,,,0.00,,0.01,,0.03,0.00,0.86,0.00,0.01,,,,0.09,
100_91,176,,,0.00,,0.00,,0.03,0.01,0.79,0.01,0.00,,,,0.15,
100_92,176,,,,,0.00,,0.01,,0.78,0.02,0.00,,,,0.19,
100_93,176,,,0.00,,,,,,0.74,0.00,0.00,,,,0.25,
100_94,176,,,0.00,,,,,0.00,0.56,0.02,0.00,,,,0.42,
100_95,176,0.00,,,,,,,,0.43,0.01,0.00,0.01,,,0.56,
100_96,176,,,0.01,,,,,0.00,0.74,0.00,0.01,0.00,,,0.24,
100_97,176,0.00,,0.02,,,,,0.00,0.57,0.00,0.00,0.00,,,0.40,
100_98,176,0.01,,0.00,,,,,,0.49,0.07,0.00,,,,0.42,
100_99,176,0.01,,0.01,,,,,,0.44,0.03,0.01,,,,0.51,
10_100,262,,,,,,,,,0.03,0.00,,,,,0.97,
10_101,262,,,,,,,,,0.27,,,,,,0.73,
10_101,no data,,,,,,,,,0.11,,,0.06,,,0.84,
101_100,176,0.02,,,,,,,0.00,0.49,0.00,,,,,0.48,
101_100,194,0.01,,,,0.02,,0.03,0.00,0.59,0.01,,0.03,,,0.32,
101_101,194,0.06,,,,0.00,,0.03,0.00,0.55,0.00,,0.02,,,0.33,
101_102,194,0.07,,,,,,,0.00,0.52,0.01,,0.00,,,0.39,
101_103,176,0.08,,,,,,,0.01,0.64,0.00,,,,,0.28,
101_103,194,0.21,,,,,,,0.01,0.32,0.02,,0.00,,,0.44,
101_104,176,0.23,,,,,,,0.01,0.36,0.01,,,,,0.40,
101_104,194,0.09,,,,,,,0.00,0.34,0.01,,,,,0.56,
101_105,176,0.21,,,,,,,0.02,0.25,0.03,,0.02,,,0.47,
101_105,194,0.11,,0.00,,,,,0.00,0.26,0.03,,0.00,,,0.59,
101_105,270,0.10,,,,,,,,0.20,,,,,,0.71,
101_106,176,0.13,,,,,,,,0.41,0.01,,,,,0.45,
101_106,194,0.17,,,,,,,,0.18,0.02,,,,,0.64,
101_106,270,0.09,,0.00,,,,,0.00,0.57,0.00,,,,,0.33,
101_107,270,0.01,,0.00,,,,,0.00,0.46,0.01,,,,,0.51,
101_108,270,0.02,,0.00,,,,,,0.54,0.01,,0.00,,,0.42,
101_109,270,0.00,,,,,,,0.00,0.39,0.01,,,,,0.60,
101_110,270,0.00,,0.01,,,,,0.01,0.26,0.02,,,,,0.70,
101_111,270,0.00,,0.00,,,,,,0.18,0.01,,,0.00,,0.81,
101_112,270,0.01,,,,0.01,0.00,0.01,,0.11,0.07,,,0.00,,0.78,
101_113,270,,,0.00,,,,,,0.13,0.01,,,,,0.85,
101_114,270,,,0.00,,,,,,0.03,0.06,,,,,0.91,
101_115,270,0.01,,0.00,,,,,,0.15,0.03,,,,,0.82,
101_116,270,0.01,,0.01,,,,,,0.28,0.18,0.00,,,,0.51,0.00
101_116,no data,,,,,,,,,0.89,0.01,,,,,0.10,
101_117,270,,,0.02,,,,,,0.79,0.01,,,,,0.18,0.00
101_117,no data,,,,,,,,,0.75,0.00,,,,,0.24,
101_32,019,0.01,,,,0.05,,0.14,0.00,0.03,0.39,0.04,0.00,,,0.33,
101_32,035,0.05,,,,0.06,0.00,0.07,0.01,0.02,0.41,0.03,0.20,,,0.14,0.03
101_32,037,0.12,,,,,0.07,0.17,,,0.08,0.02,0.05,,,0.49,0.00
101_32,no data,0.01,,,,0.00,,,0.00,,0.00,,0.99,,,0.00,
101_33,035,0.00,,0.02,,0.01,0.00,0.04,0.01,0.23,0.31,0.07,0.07,,,0.19,0.04
101_33,037,0.01,,,,,,0.11,,,0.67,0.00,0.00,,,0.21,
101_33,no data,,,,,,,,,,0.06,,0.94,,,,
101_34,035,0.00,,0.02,,0.00,0.00,0.04,0.00,0.52,0.22,0.04,0.02,,,0.11,0.02
101_35,035,,,0.00,,0.00,,0.04,,0.86,0.01,0.00,,,,0.08,
101_36,035,,,0.01,,,,0.02,,0.68,0.13,0.04,0.00,,,0.12,
101_37,035,,0.01,0.03,,,,0.06,,0.38,0.31,0.08,0.00,,,0.12,0.02
101_38,035,,0.12,0.01,0.00,0.06,0.02,0.18,,0.01,0.47,0.03,0.00,,,0.07,0.04
101_38,036,0.00,0.41,0.01,,0.02,0.00,0.09,,0.02,0.25,0.03,,,,0.09,0.08
101_39,036,,0.48,0.01,,0.10,0.01,0.15,0.00,0.01,0.15,0.02,0.03,,,0.03,0.02
101_40,036,,0.19,,0.00,0.19,0.18,0.22,,0.00,0.20,0.00,0.01,,,0.00,0.00
10_14,014,0.02,,0.02,,0.00,,0.07,,0.66,0.01,0.16,0.04,,,0.04,
101_41,036,,,,0.07,0.28,0.49,0.14,,,0.02,,0.00,,,0.00,
101_42,036,,,0.00,0.02,0.32,0.21,0.39,,0.01,0.01,0.02,0.00,,,0.01,0.00
101_43,036,0.00,,0.00,0.00,0.16,0.08,0.25,0.00,0.12,0.14,0.08,0.01,,,0.13,0.00
101_44,036,,0.03,0.00,0.00,0.04,0.02,0.08,,0.43,0.08,0.07,0.00,,,0.24,0.00
101_44,391,,0.08,,0.00,0.04,0.01,0.07,,0.49,0.03,0.06,,,,0.23,
101_45,036,,,0.01,,,,,,0.54,0.04,0.17,,,,0.23,
101_45,040,,,0.02,,,,0.07,,0.08,0.25,0.13,,,,0.44,
101_45,391,,0.00,0.00,,,,0.01,,0.49,0.04,0.10,0.00,,,0.35,
101_46,040,,,0.03,,,,0.00,,0.67,0.02,0.12,,,,0.17,
101_46,391,,,0.03,,,,0.01,,0.42,0.04,0.09,,,,0.41,
101_47,040,0.00,0.17,0.02,,0.01,0.00,0.02,,0.45,0.05,0.13,,,,0.15,0.00
101_48,040,0.00,0.83,0.00,0.00,0.05,0.01,0.05,,,0.03,0.01,0.00,,,0.02,0.00
101_49,040,0.00,0.29,0.00,,0.02,0.00,0.02,,0.10,0.12,0.05,0.00,,,0.40,
10_14,no data,,,,,,,,,,,,1.00,,,,
101_50,040,,0.18,0.06,,,,0.00,,0.10,0.02,0.10,0.00,,,0.54,0.00
10_15,014,,,0.02,,,,0.09,,0.72,0.00,0.16,,,,0.00,0.00
101_51,040,,0.06,0.08,,,,,,0.26,0.04,0.10,,,,0.47,
101_51,175,0.00,,0.07,,,,0.00,,0.21,0.09,0.22,,,,0.41,
101_52,175,,,0.02,,0.00,,0.02,,0.10,0.14,0.23,0.00,0.00,,0.48,0.00
101_53,175,0.00,0.00,0.04,,0.00,0.00,0.02,0.00,0.09,0.15,0.29,0.01,0.01,,0.39,0.00
101_54,175,,,0.03,,0.00,,0.02,0.00,0.18,0.03,0.32,,,,0.43,
101_55,175,,,0.00,,,,,,0.22,0.00,0.18,,,,0.59,
101_55,191,,,,,,,,,0.02,0.22,0.19,,,,0.57,
101_56,191,0.00,0.00,0.03,,0.00,,0.03,,0.05,0.61,0.11,0.00,,,0.16,0.01
101_57,191,,0.01,0.00,,0.01,,0.04,,,0.89,0.01,,,,0.04,0.00
101_58,191,0.05,0.24,,0.00,0.02,0.01,0.06,0.00,,0.59,,0.00,0.02,,0.00,0.00
101_59,191,0.00,0.87,,,0.00,0.00,0.03,0.00,,0.01,,,0.09,,,
10_16,014,,,0.02,,,,0.09,,0.72,0.01,0.11,,,,0.06,
101_60,191,,0.89,,0.01,0.01,0.04,0.05,,,0.00,,,,,,
101_61,191,,0.59,,0.06,0.05,0.12,0.06,0.01,,0.01,,,0.10,,,
101_62,191,,0.81,,0.00,0.00,0.00,0.03,0.00,,0.00,,,0.15,,,
101_63,186,,0.37,,,,,,0.05,,,,0.03,0.54,,,
101_63,191,,0.72,,,0.00,,0.02,0.01,,0.04,,0.00,0.22,,,0.00
101_64,186,,0.55,,,,0.00,0.03,0.03,,0.00,,0.01,0.37,,,
101_64,191,,0.69,,,0.00,0.00,0.04,0.01,,0.08,,,0.18,,,
101_65,186,0.00,0.32,,,,,,0.37,,0.16,,,0.15,,,
101_65,191,0.00,0.68,,,,,0.00,0.04,,0.19,,,0.08,,,0.00
101_66,186,0.01,0.80,,,0.01,,0.03,0.08,,0.02,,0.05,,,,0.01
101_66,191,,1.00,,,,,,,,,,,,,,
101_67,186,,0.56,,0.00,0.17,0.11,0.08,0.00,,,,0.06,0.01,,,0.00
101_68,173,,0.39,,0.03,0.14,0.27,0.11,0.04,,0.03,,,,,,
101_68,186,0.00,0.32,,0.01,0.24,0.24,0.13,0.01,,0.01,,0.04,0.00,,,0.00
101_69,173,,0.03,,0.05,0.25,0.45,0.16,0.02,,0.04,,,,,,0.00
10_17,014,,0.00,0.04,,,,0.06,,0.58,0.01,0.18,,,,0.13,
101_70,173,,0.01,,0.10,0.21,0.43,0.21,0.00,,0.04,,,0.00,,,
101_71,173,,0.04,,0.00,0.11,0.14,0.11,0.05,,0.38,,,0.16,,,0.00
101_72,173,0.01,0.03,,0.00,0.13,0.05,0.08,0.06,,0.52,,0.00,0.12,,,0.01
101_73,173,0.00,0.18,,,0.01,,0.03,0.02,,0.56,,0.01,0.19,,,0.00
101_73,180,0.00,0.21,,,,,0.04,0.04,,0.52,,0.01,0.18,,,0.00
101_74,173,,,,,0.03,,0.08,,,0.89,,0.00,,,,
101_74,180,0.00,0.35,,,0.00,,0.03,0.01,,0.46,,0.01,0.11,,,0.02
101_75,180,0.02,0.28,0.00,0.00,0.00,0.00,0.07,0.01,,0.57,0.00,0.01,0.03,,,0.01
101_76,180,0.01,0.13,,0.01,0.00,0.01,0.07,0.00,,0.66,,0.01,0.08,,,0.01
101_77,176,0.07,,0.05,,,,0.03,,,0.69,0.02,0.05,,,,0.09
101_77,180,0.05,0.02,0.00,0.00,0.02,0.02,0.12,,,0.61,,0.03,0.10,,0.00,0.01
101_78,176,,,0.09,,0.01,,0.02,,0.02,0.72,,,,,0.14,0.00
101_78,180,0.00,,0.06,0.00,,,0.07,0.00,0.01,0.81,,0.01,,,0.02,0.02
101_78,181,,,0.16,0.00,0.01,,0.02,,0.08,0.47,0.00,0.00,,,0.26,
101_79,176,,0.00,0.21,,0.01,,0.02,,0.04,0.63,0.00,0.00,,,0.09,
101_79,181,,,0.21,,0.00,,0.01,,0.03,0.57,0.00,,,,0.18,
10_18,014,0.00,,0.03,,0.00,,0.05,,0.66,0.01,0.17,,,,0.08,
101_80,176,,0.00,0.16,,,,0.03,,0.02,0.75,0.00,0.00,,,0.03,
101_80,181,,0.01,0.01,,0.00,,0.05,,,0.91,,0.01,,,0.02,
101_81,176,,0.00,0.11,,0.00,,0.02,,0.08,0.68,,0.00,,,0.10,
101_81,181,,,0.06,,,,0.00,,0.02,0.76,,0.00,,,0.15,
101_82,176,,0.01,0.11,0.00,0.03,0.01,0.05,,0.09,0.65,0.00,,,,0.05,
101_82,181,,,0.10,,,,,,0.02,0.86,,,,,0.02,
101_83,176,,0.02,0.05,,,,0.02,,0.45,0.39,0.01,0.00,,,0.06,
101_84,176,,,0.03,,,,0.00,,0.51,0.25,0.02,0.00,,,0.19,
101_85,176,,0.00,0.04,,,,0.04,,0.57,0.16,0.06,,,,0.13,
101_86,176,,,0.03,,,,0.01,,0.57,0.08,0.16,0.00,,,0.15,
101_87,176,,,0.03,,0.00,,0.05,0.00,0.62,0.04,0.18,,,,0.07,
101_88,176,,,0.02,,0.00,,0.02,0.00,0.68,0.05,0.09,,,,0.13,
101_89,176,,,0.00,,0.00,,0.02,0.00,0.78,0.01,0.02,,,,0.16,
10_19,014,0.00,,0.01,,0.00,,0.07,,0.78,0.01,0.09,0.00,,,0.03,
101_90,176,,,0.00,,0.00,,0.00,0.01,0.73,0.02,0.01,,,,0.23,
101_91,176,,,0.00,,,,,0.00,0.82,0.00,0.01,0.00,,,0.16,
101_92,176,,,0.01,,,,,0.00,0.83,,0.03,,,,0.13,
101_93,176,,,0.00,,,,,,0.59,0.00,0.01,,,,0.40,
101_94,176,,,0.00,,,,,,0.62,,0.01,,,,0.37,
101_95,176,,,0.00,,,,,,0.69,0.01,0.01,,,,0.29,
101_96,176,0.00,,0.00,,,,,,0.70,0.01,0.00,0.10,,,0.20,
101_97,176,,,0.00,,,,,,0.73,0.01,0.00,0.10,,,0.16,
101_98,176,0.01,,0.00,,,,,0.00,0.72,0.00,0.00,,,,0.27,
101_99,176,0.01,,0.00,,,,,0.00,0.58,0.00,,,,,0.40,
101_99,194,0.01,,,,0.00,,0.03,,0.50,0.01,,0.00,,,0.45,
10_20,014,,,0.01,,,,0.07,,0.77,0.01,0.13,,,,0.01,
102_100,194,0.04,,,,0.01,0.00,0.01,0.01,0.51,0.01,,0.03,,,0.38,
102_101,194,0.10,,,,,,,0.00,0.37,0.00,,0.06,,,0.47,
10_21,014,0.00,,0.01,,0.00,,0.02,,0.79,,0.03,,,,0.14,
102_102,194,0.04,,,,,,,,0.47,0.01,,0.01,,,0.48,
102_103,194,0.02,,,,,,,0.00,0.52,0.01,,0.02,,,0.43,
102_104,194,0.10,,0.00,,,,,,0.41,0.03,,,,,0.47,
102_105,194,0.06,,0.00,,,,,,0.52,0.01,,,,,0.41,
102_106,194,0.06,,0.00,,,,,,0.46,0.00,,,,,0.48,
102_106,270,0.18,,,,,,,,0.26,0.03,,,,,0.54,
102_107,194,0.07,,,,,,,,0.39,0.06,,,,,0.48,
102_107,270,0.04,,0.00,,,,,,0.51,0.02,,,,,0.43,
102_108,194,,,,,,,,,0.53,,,,,,0.47,
102_108,270,0.11,,,,,,,,0.29,0.08,,0.00,,,0.52,
102_109,270,0.03,,0.00,,,,,0.01,0.39,0.06,,0.00,,,0.52,
102_110,270,0.01,,0.01,,,,,,0.31,0.01,,,,,0.66,
102_111,270,0.01,,0.02,,,,,,0.19,0.01,,,,,0.77,
102_112,270,0.01,,0.00,,0.02,0.01,0.00,,0.41,0.02,,,,,0.54,
102_113,270,0.00,,,,,,,,0.30,0.01,,,,,0.69,
102_114,270,0.00,,0.00,,,,,0.00,0.08,0.04,,0.00,,,0.86,
102_115,270,0.11,,0.00,,,,,0.00,0.09,0.07,,,,,0.73,
102_116,270,0.23,,0.01,,,,,,0.13,0.27,0.00,,,,0.36,
102_117,270,0.01,,0.02,,,,,,0.65,0.08,,,,,0.24,0.00
102_117,no data,,,,,,,,,0.54,,,,,,0.46,
102_118,270,,,0.02,,,,,,0.73,0.01,,,,,0.24,0.00
102_118,no data,,,0.05,,,,0.00,,0.11,0.08,,,0.02,,0.65,0.08
10_22,014,,,0.01,,0.00,,0.03,,0.77,0.00,0.08,,,,0.12,
10_23,014,,,0.00,,,,,,0.94,,0.02,,,,0.03,
102_33,035,,,0.01,,,,0.02,,0.18,0.47,0.04,,,,0.29,
102_33,037,0.01,,0.02,,0.02,0.00,0.05,,0.01,0.52,0.06,0.00,,,0.29,
102_33,no data,0.01,,,,0.00,,,,,0.00,,0.99,,,0.00,
102_34,035,,,0.01,,,,0.03,,0.69,0.14,0.05,,,,0.09,
102_34,037,,,0.02,,,,0.01,,0.30,0.38,0.07,,,,0.22,
102_35,035,,,0.01,,,,0.04,,0.86,0.04,0.02,,,,0.03,
102_35,037,,,0.02,,,,0.04,,0.38,0.26,0.11,0.00,,,0.19,
102_36,035,,,0.01,,0.01,0.00,0.12,,0.55,0.14,0.04,,,,0.13,
102_36,037,,,0.00,,0.00,,0.07,,0.72,0.05,0.03,,,,0.12,
102_37,035,,,0.01,,0.00,,0.08,,0.42,0.23,0.07,,,,0.18,0.00
102_37,037,,,0.00,,0.00,,0.14,,0.53,0.15,0.05,,,,0.13,
102_38,035,0.00,0.08,0.01,0.00,0.03,0.00,0.13,,0.02,0.55,0.04,0.00,,,0.13,0.01
102_38,036,,,,,0.06,,0.31,,0.00,0.53,,,,,0.09,
102_39,035,,0.03,,,0.37,0.13,0.34,,,0.08,0.02,,,,0.03,
102_39,036,,0.40,0.00,0.01,0.11,0.05,0.17,,0.01,0.18,0.02,0.00,,,0.04,0.02
102_40,036,,0.21,,0.01,0.18,0.09,0.18,,,0.32,0.00,0.00,,,0.00,
10_24,010,,,0.00,,,,,,0.78,0.01,0.01,,,,0.20,
10_24,014,,,0.00,,,,,,0.87,,0.03,,,,0.10,
102_41,036,,0.00,,0.09,0.24,0.43,0.14,,,0.10,,,,,0.00,
102_42,036,,0.01,0.01,0.01,0.14,0.13,0.20,,0.06,0.25,0.09,,,,0.10,0.00
102_43,036,,0.01,0.03,,0.03,0.00,0.12,0.00,0.23,0.22,0.14,0.00,,,0.20,0.01
102_43,391,,,0.28,,,,,,,0.34,0.03,,,,0.34,
102_44,036,,,0.00,,0.08,0.04,0.17,,0.40,0.08,0.13,,,,0.09,
102_44,391,0.00,0.03,0.01,,0.07,0.03,0.17,0.01,0.35,0.09,0.09,,,,0.15,0.00
102_45,391,,0.13,0.01,,0.07,0.01,0.14,,0.17,0.12,0.13,0.00,,,0.23,0.00
102_46,040,,,0.17,,,,0.04,,0.26,0.20,0.21,,,,0.13,
102_46,391,0.00,,0.01,,,,0.02,,0.36,0.13,0.14,,,,0.35,
102_47,040,,,0.03,,0.00,,0.02,,0.45,0.05,0.16,,,,0.28,
102_47,391,,,,,,,0.03,,0.62,0.10,0.03,,,,0.21,
102_48,040,0.00,0.44,0.01,,0.03,0.01,0.04,,0.23,0.04,0.07,0.00,,,0.13,0.00
102_49,040,0.00,0.57,0.00,0.00,0.06,0.01,0.04,,0.04,0.12,0.04,0.01,,,0.10,0.01
102_50,040,,0.07,0.01,,0.01,0.00,0.02,,0.03,0.12,0.08,0.01,,,0.66,0.00
