dwr_id,dau,major,fraction
100_31,no data,Shrubland,0.00
100_31,no data,Water,0.97
100_31,no data,Wetlands,0.02
100_32,019,Barren,0.00
100_32,019,Developed,0.04
100_32,019,Forest,0.52
100_32,019,Herbaceous,0.27
100_32,019,Shrubland,0.15
100_32,019,Water,0.00
100_32,019,Wetlands,0.00
100_32,035,Forest,0.14
100_32,035,Herbaceous,0.76
100_32,035,Shrubland,0.10
100_32,no data,Barren,0.03
100_32,no data,Developed,0.00
100_32,no data,Herbaceous,0.00
100_32,no data,Shrubland,0.01
100_32,no data,Water,0.96
100_33,019,Forest,0.75
100_33,019,Herbaceous,0.10
100_33,019,Shrubland,0.14
100_33,035,Forest,0.92
100_33,035,Herbaceous,0.02
100_33,035,Shrubland,0.06
100_34,035,Barren,0.00
100_34,035,Developed,0.07
100_34,035,Forest,0.84
100_34,035,Herbaceous,0.02
100_34,035,Shrubland,0.04
100_34,035,Water,0.01
100_34,035,Wetlands,0.01
100_35,035,Barren,0.00
100_35,035,Developed,0.22
100_35,035,Forest,0.72
100_35,035,Herbaceous,0.01
100_35,035,Shrubland,0.02
100_35,035,Water,0.03
100_35,035,Wetlands,0.01
100_36,035,Developed,0.05
100_36,035,Forest,0.90
100_36,035,Herbaceous,0.03
100_36,035,Shrubland,0.03
100_36,035,Water,0.00
100_37,035,Barren,0.00
100_37,035,Developed,0.20
100_37,035,Forest,0.60
100_37,035,Herbaceous,0.11
100_37,035,Shrubland,0.07
100_37,035,Water,0.01
100_37,035,Wetlands,0.01
100_38,035,Barren,0.00
100_38,035,Developed,0.17
100_38,035,Forest,0.16
100_38,035,Herbaceous,0.23
100_38,035,Planted/Cultivated,0.34
100_38,035,Shrubland,0.08
100_38,035,Water,0.01
100_38,035,Wetlands,0.01
100_38,036,Developed,0.12
100_38,036,Forest,0.18
100_38,036,Herbaceous,0.31
100_38,036,Planted/Cultivated,0.16
100_38,036,Shrubland,0.22
100_38,036,Wetlands,0.00
100_39,036,Barren,0.00
100_39,036,Developed,0.16
100_39,036,Forest,0.02
100_39,036,Herbaceous,0.17
100_39,036,Planted/Cultivated,0.60
100_39,036,Shrubland,0.04
100_39,036,Water,0.00
100_39,036,Wetlands,0.01
100_40,036,Barren,0.00
100_40,036,Developed,0.31
100_40,036,Forest,0.00
100_40,036,Herbaceous,0.09
100_40,036,Planted/Cultivated,0.58
100_40,036,Shrubland,0.01
100_40,036,Water,0.00
100_40,036,Wetlands,0.00
100_41,036,Developed,0.58
100_41,036,Forest,0.13
100_41,036,Herbaceous,0.15
100_41,036,Planted/Cultivated,0.04
100_41,036,Shrubland,0.09
100_41,036,Water,0.01
100_41,036,Wetlands,0.00
100_42,036,Developed,0.48
100_42,036,Forest,0.17
100_42,036,Herbaceous,0.22
100_42,036,Shrubland,0.13
100_43,036,Developed,0.13
100_43,036,Forest,0.42
100_43,036,Herbaceous,0.23
100_43,036,Shrubland,0.23
100_44,036,Developed,0.03
100_44,036,Forest,0.63
100_44,036,Herbaceous,0.13
100_44,036,Shrubland,0.21
100_45,036,Developed,0.01
100_45,036,Forest,0.59
100_45,036,Herbaceous,0.07
100_45,036,Shrubland,0.33
100_45,036,Water,0.00
100_45,040,Developed,0.04
100_45,040,Forest,0.50
100_45,040,Herbaceous,0.21
100_45,040,Shrubland,0.25
100_45,040,Water,0.00
100_46,040,Developed,0.05
100_46,040,Forest,0.66
100_46,040,Herbaceous,0.07
100_46,040,Planted/Cultivated,0.02
100_46,040,Shrubland,0.20
100_46,040,Water,0.00
100_46,040,Wetlands,0.00
100_47,040,Barren,0.00
100_47,040,Developed,0.37
100_47,040,Forest,0.10
100_47,040,Herbaceous,0.05
100_47,040,Planted/Cultivated,0.42
100_47,040,Shrubland,0.05
100_47,040,Water,0.00
100_47,040,Wetlands,0.00
100_48,040,Barren,0.00
100_48,040,Developed,0.06
100_48,040,Forest,0.28
100_48,040,Herbaceous,0.18
100_48,040,Planted/Cultivated,0.23
100_48,040,Shrubland,0.24
100_48,040,Water,0.00
100_48,040,Wetlands,0.01
100_49,040,Barren,0.00
100_49,040,Developed,0.02
100_49,040,Forest,0.29
100_49,040,Herbaceous,0.19
100_49,040,Planted/Cultivated,0.00
100_49,040,Shrubland,0.29
100_49,040,Water,0.16
100_49,040,Wetlands,0.04
100_50,040,Developed,0.02
100_50,040,Forest,0.46
100_50,040,Herbaceous,0.09
100_50,040,Planted/Cultivated,0.03
100_50,040,Shrubland,0.41
100_51,040,Developed,0.02
100_51,040,Forest,0.27
100_51,040,Herbaceous,0.08
100_51,040,Planted/Cultivated,0.11
100_51,040,Shrubland,0.51
100_51,040,Water,0.00
100_51,040,Wetlands,0.00
100_51,175,Developed,0.01
100_51,175,Forest,0.39
100_51,175,Herbaceous,0.06
100_51,175,Planted/Cultivated,0.01
100_51,175,Shrubland,0.52
100_51,175,Wetlands,0.00
100_52,175,Barren,0.00
100_52,175,Developed,0.03
100_52,175,Forest,0.38
100_52,175,Herbaceous,0.06
100_52,175,Shrubland,0.46
100_52,175,Water,0.06
100_52,175,Wetlands,0.01
100_53,175,Developed,0.11
100_53,175,Forest,0.36
100_53,175,Herbaceous,0.03
100_53,175,Shrubland,0.36
100_53,175,Water,0.11
100_53,175,Wetlands,0.02
100_54,175,Barren,0.00
100_54,175,Developed,0.02
100_54,175,Forest,0.50
100_54,175,Herbaceous,0.04
100_54,175,Shrubland,0.32
100_54,175,Water,0.11
100_54,175,Wetlands,0.01
100_55,162,Developed,0.16
100_55,162,Forest,0.07
100_55,162,Herbaceous,0.41
100_55,162,Shrubland,0.34
100_55,162,Water,0.00
100_55,162,Wetlands,0.02
100_55,175,Developed,0.04
100_55,175,Developed,0.02
100_55,175,Forest,0.35
100_55,175,Forest,0.44
100_55,175,Herbaceous,0.10
100_55,175,Herbaceous,0.03
100_55,175,Shrubland,0.42
100_55,175,Shrubland,0.51
100_55,175,Water,0.10
100_55,175,Water,0.00
100_55,175,Wetlands,0.01
100_55,191,Forest,0.38
100_55,191,Herbaceous,0.09
100_55,191,Shrubland,0.52
100_55,191,Wetlands,0.01
100_56,162,Barren,0.00
100_56,162,Developed,0.09
100_56,162,Forest,0.01
100_56,162,Herbaceous,0.81
100_56,162,Planted/Cultivated,0.02
100_56,162,Shrubland,0.05
100_56,162,Water,0.01
100_56,162,Wetlands,0.01
100_56,191,Barren,0.00
100_56,191,Developed,0.04
100_56,191,Forest,0.18
100_56,191,Herbaceous,0.56
100_56,191,Planted/Cultivated,0.05
100_56,191,Shrubland,0.11
100_56,191,Water,0.01
100_56,191,Wetlands,0.05
100_57,162,Barren,0.00
100_57,162,Developed,0.12
100_57,162,Herbaceous,0.15
100_57,162,Planted/Cultivated,0.68
100_57,162,Shrubland,0.00
100_57,162,Water,0.01
100_57,162,Wetlands,0.03
100_57,191,Barren,0.02
100_57,191,Developed,0.10
100_57,191,Forest,0.00
100_57,191,Herbaceous,0.16
100_57,191,Planted/Cultivated,0.64
100_57,191,Shrubland,0.01
100_57,191,Water,0.01
100_57,191,Wetlands,0.05
100_58,162,Barren,0.01
100_58,162,Developed,0.60
100_58,162,Herbaceous,0.04
100_58,162,Planted/Cultivated,0.29
100_58,162,Wetlands,0.07
100_58,191,Barren,0.02
100_58,191,Developed,0.08
100_58,191,Herbaceous,0.09
100_58,191,Planted/Cultivated,0.80
100_58,191,Wetlands,0.00
100_59,191,Barren,0.00
100_59,191,Developed,0.02
100_59,191,Herbaceous,0.00
100_59,191,Planted/Cultivated,0.98
100_59,191,Wetlands,0.00
100_60,191,Developed,0.04
100_60,191,Planted/Cultivated,0.96
100_61,191,Developed,0.07
100_61,191,Planted/Cultivated,0.93
100_61,191,Wetlands,0.00
100_62,162,Developed,0.47
100_62,162,Herbaceous,0.29
100_62,162,Planted/Cultivated,0.11
100_62,162,Wetlands,0.13
100_62,191,Developed,0.08
100_62,191,Herbaceous,0.02
100_62,191,Planted/Cultivated,0.88
100_62,191,Wetlands,0.02
100_63,191,Developed,0.04
100_63,191,Herbaceous,0.01
100_63,191,Planted/Cultivated,0.93
100_63,191,Wetlands,0.02
100_64,162,Developed,0.03
100_64,162,Planted/Cultivated,0.97
100_64,186,Planted/Cultivated,1.00
100_64,191,Barren,0.00
100_64,191,Developed,0.15
100_64,191,Developed,0.03
100_64,191,Herbaceous,0.02
100_64,191,Herbaceous,0.08
100_64,191,Planted/Cultivated,0.81
100_64,191,Planted/Cultivated,0.79
100_64,191,Wetlands,0.02
100_64,191,Wetlands,0.10
100_65,186,Developed,0.01
100_65,186,Herbaceous,0.01
100_65,186,Planted/Cultivated,0.89
100_65,186,Water,0.01
100_65,186,Wetlands,0.07
100_65,191,Developed,0.01
100_65,191,Herbaceous,0.03
100_65,191,Planted/Cultivated,0.94
100_65,191,Wetlands,0.02
100_66,186,Barren,0.01
100_66,186,Developed,0.11
100_66,186,Herbaceous,0.06
100_66,186,Planted/Cultivated,0.63
100_66,186,Water,0.09
100_66,186,Wetlands,0.11
100_66,191,Planted/Cultivated,1.00
100_67,173,Developed,1.00
100_67,186,Barren,0.01
100_67,186,Developed,0.93
100_67,186,Developed,0.14
100_67,186,Herbaceous,0.05
100_67,186,Planted/Cultivated,0.67
100_67,186,Water,0.07
100_67,186,Water,0.09
100_67,186,Wetlands,0.00
100_67,186,Wetlands,0.04
100_68,173,Developed,1.00
100_68,186,Developed,1.00
100_69,173,Developed,1.00
100_70,173,Developed,0.96
100_70,173,Herbaceous,0.02
100_70,173,Planted/Cultivated,0.02
100_70,173,Wetlands,0.00
100_71,173,Barren,0.05
100_71,173,Developed,0.33
100_71,173,Herbaceous,0.27
100_71,173,Planted/Cultivated,0.27
100_71,173,Water,0.00
100_71,173,Wetlands,0.07
100_72,173,Barren,0.05
100_72,173,Developed,0.13
100_72,173,Herbaceous,0.52
100_72,173,Planted/Cultivated,0.27
100_72,173,Water,0.01
100_72,173,Wetlands,0.03
100_73,173,Barren,0.03
100_73,173,Developed,0.08
100_73,173,Herbaceous,0.77
100_73,173,Planted/Cultivated,0.11
100_73,173,Water,0.01
100_73,173,Wetlands,0.00
100_74,173,Barren,0.00
100_74,173,Developed,0.10
100_74,173,Herbaceous,0.88
100_74,173,Planted/Cultivated,0.00
100_74,173,Water,0.01
100_74,173,Wetlands,0.00
100_74,180,Developed,0.10
100_74,180,Forest,0.01
100_74,180,Herbaceous,0.87
100_74,180,Planted/Cultivated,0.03
100_74,180,Wetlands,0.00
100_75,173,Developed,0.20
100_75,173,Herbaceous,0.80
100_75,180,Barren,0.01
100_75,180,Developed,0.01
100_75,180,Forest,0.00
100_75,180,Herbaceous,0.77
100_75,180,Planted/Cultivated,0.20
100_75,180,Water,0.00
100_75,180,Wetlands,0.00
100_76,180,Barren,0.00
100_76,180,Developed,0.04
100_76,180,Forest,0.04
100_76,180,Herbaceous,0.85
100_76,180,Planted/Cultivated,0.06
100_76,180,Shrubland,0.00
100_76,180,Water,0.01
100_76,180,Wetlands,0.01
100_77,176,Barren,0.01
100_77,176,Developed,0.06
100_77,176,Forest,0.13
100_77,176,Herbaceous,0.69
100_77,176,Shrubland,0.01
100_77,176,Water,0.08
100_77,176,Wetlands,0.02
100_77,180,Barren,0.00
100_77,180,Developed,0.47
100_77,180,Forest,0.06
100_77,180,Herbaceous,0.43
100_77,180,Shrubland,0.00
100_77,180,Water,0.01
100_77,180,Wetlands,0.02
100_78,176,Barren,0.00
100_78,176,Barren,0.00
100_78,176,Barren,0.01
100_78,176,Developed,0.03
100_78,176,Developed,0.03
100_78,176,Forest,0.30
100_78,176,Forest,0.26
100_78,176,Forest,0.09
100_78,176,Herbaceous,0.59
100_78,176,Herbaceous,0.70
100_78,176,Herbaceous,0.85
100_78,176,Shrubland,0.11
100_78,176,Shrubland,0.01
100_78,176,Shrubland,0.02
100_78,176,Water,0.00
100_78,176,Water,0.00
100_78,176,Wetlands,0.01
100_78,180,Developed,0.11
100_78,180,Herbaceous,0.75
100_78,180,Wetlands,0.14
100_79,176,Developed,0.00
100_79,176,Forest,0.30
100_79,176,Forest,0.34
100_79,176,Herbaceous,0.63
100_79,176,Herbaceous,0.56
100_79,176,Shrubland,0.06
100_79,176,Shrubland,0.09
100_79,176,Water,0.00
100_80,176,Developed,0.02
100_80,176,Developed,0.01
100_80,176,Forest,0.20
100_80,176,Forest,0.11
100_80,176,Herbaceous,0.62
100_80,176,Herbaceous,0.27
100_80,176,Shrubland,0.16
100_80,176,Shrubland,0.60
100_80,176,Water,0.00
100_80,176,Water,0.00
100_81,176,Forest,0.51
100_81,176,Forest,0.49
100_81,176,Herbaceous,0.19
100_81,176,Herbaceous,0.31
100_81,176,Shrubland,0.30
100_81,176,Shrubland,0.20
100_81,176,Water,0.00
100_81,176,Water,0.00
100_82,176,Developed,0.02
100_82,176,Forest,0.59
100_82,176,Herbaceous,0.29
100_82,176,Planted/Cultivated,0.01
100_82,176,Shrubland,0.09
100_82,176,Water,0.00
100_83,176,Developed,0.03
100_83,176,Forest,0.12
100_83,176,Herbaceous,0.55
100_83,176,Planted/Cultivated,0.20
100_83,176,Shrubland,0.10
100_83,176,Water,0.00
100_84,176,Developed,0.03
100_84,176,Forest,0.44
100_84,176,Herbaceous,0.40
100_84,176,Planted/Cultivated,0.02
100_84,176,Shrubland,0.10
100_84,176,Water,0.00
100_85,176,Forest,0.53
100_85,176,Forest,0.72
100_85,176,Herbaceous,0.38
100_85,176,Herbaceous,0.13
100_85,176,Shrubland,0.09
100_85,176,Shrubland,0.15
100_85,176,Water,0.00
100_86,176,Developed,0.03
100_86,176,Forest,0.73
100_86,176,Forest,0.74
100_86,176,Herbaceous,0.12
100_86,176,Herbaceous,0.13
100_86,176,Shrubland,0.11
100_86,176,Shrubland,0.13
100_86,176,Wetlands,0.01
100_87,176,Developed,0.00
100_87,176,Forest,0.89
100_87,176,Forest,0.67
100_87,176,Herbaceous,0.05
100_87,176,Shrubland,0.09
100_87,176,Shrubland,0.27
100_87,176,Water,0.00
100_87,176,Wetlands,0.02
100_87,176,Wetlands,0.01
100_88,176,Developed,0.00
100_88,176,Forest,0.88
100_88,176,Forest,0.67
100_88,176,Herbaceous,0.02
100_88,176,Herbaceous,0.04
100_88,176,Shrubland,0.06
100_88,176,Shrubland,0.30
100_88,176,Wetlands,0.04
100_89,176,Developed,0.06
100_89,176,Forest,0.86
100_89,176,Forest,0.88
100_89,176,Herbaceous,0.00
100_89,176,Shrubland,0.07
100_89,176,Shrubland,0.12
100_89,176,Wetlands,0.00
100_89,176,Wetlands,0.00
100_90,176,Developed,0.06
100_90,176,Developed,0.00
100_90,176,Forest,0.82
100_90,176,Forest,0.92
100_90,176,Herbaceous,0.01
100_90,176,Shrubland,0.10
100_90,176,Shrubland,0.08
100_90,176,Wetlands,0.01
100_91,176,Developed,0.02
100_91,176,Developed,0.08
100_91,176,Forest,0.79
100_91,176,Forest,0.81
100_91,176,Herbaceous,0.01
100_91,176,Shrubland,0.16
100_91,176,Shrubland,0.11
100_91,176,Wetlands,0.02
100_92,176,Developed,0.00
100_92,176,Developed,0.17
100_92,176,Forest,0.78
100_92,176,Forest,0.76
100_92,176,Herbaceous,0.02
100_92,176,Shrubland,0.20
100_92,176,Shrubland,0.07
100_93,176,Forest,0.75
100_93,176,Herbaceous,0.00
100_93,176,Shrubland,0.25
100_94,176,Forest,0.56
100_94,176,Herbaceous,0.02
100_94,176,Shrubland,0.42
100_94,176,Wetlands,0.00
100_95,176,Barren,0.00
100_95,176,Forest,0.43
100_95,176,Herbaceous,0.01
100_95,176,Shrubland,0.56
100_95,176,Water,0.01
100_96,176,Forest,0.75
100_96,176,Herbaceous,0.00
100_96,176,Shrubland,0.24
100_96,176,Water,0.00
100_96,176,Wetlands,0.00
100_97,176,Barren,0.00
100_97,176,Forest,0.59
100_97,176,Herbaceous,0.00
100_97,176,Shrubland,0.40
100_97,176,Water,0.00
100_97,176,Wetlands,0.00
100_98,176,Barren,0.01
100_98,176,Barren,0.04
100_98,176,Forest,0.50
100_98,176,Forest,0.36
100_98,176,Herbaceous,0.07
100_98,176,Shrubland,0.41
100_98,176,Shrubland,0.60
100_99,176,Barren,0.04
100_99,176,Forest,0.53
100_99,176,Forest,0.25
100_99,176,Forest,0.76
100_99,176,Herbaceous,0.01
100_99,176,Herbaceous,0.08
100_99,176,Shrubland,0.47
100_99,176,Shrubland,0.63
100_99,176,Shrubland,0.24
10_100,262,Forest,0.03
10_100,262,Herbaceous,0.00
10_100,262,Shrubland,0.97
10_101,262,Forest,0.27
10_101,262,Shrubland,0.73
10_101,no data,Forest,0.11
10_101,no data,Shrubland,0.84
10_101,no data,Water,0.06
101_100,176,Barren,0.02
101_100,176,Forest,0.49
101_100,176,Herbaceous,0.00
101_100,176,Shrubland,0.48
101_100,176,Wetlands,0.00
101_100,194,Barren,0.01
101_100,194,Developed,0.05
101_100,194,Forest,0.59
101_100,194,Herbaceous,0.01
101_100,194,Shrubland,0.32
101_100,194,Water,0.03
101_100,194,Wetlands,0.00
101_101,194,Barren,0.06
101_101,194,Developed,0.03
101_101,194,Forest,0.55
101_101,194,Herbaceous,0.00
101_101,194,Shrubland,0.33
101_101,194,Water,0.02
101_101,194,Wetlands,0.00
101_102,194,Barren,0.07
101_102,194,Forest,0.52
101_102,194,Herbaceous,0.01
101_102,194,Shrubland,0.39
101_102,194,Water,0.00
101_102,194,Wetlands,0.00
101_103,176,Barren,0.08
101_103,176,Forest,0.64
101_103,176,Herbaceous,0.00
101_103,176,Shrubland,0.28
101_103,176,Wetlands,0.01
101_103,194,Barren,0.21
101_103,194,Forest,0.32
101_103,194,Herbaceous,0.02
101_103,194,Shrubland,0.44
101_103,194,Water,0.00
101_103,194,Wetlands,0.01
101_104,176,Barren,0.23
101_104,176,Forest,0.36
101_104,176,Herbaceous,0.01
101_104,176,Shrubland,0.40
101_104,176,Wetlands,0.01
101_104,194,Barren,0.09
101_104,194,Forest,0.34
101_104,194,Herbaceous,0.01
101_104,194,Shrubland,0.56
101_104,194,Wetlands,0.00
101_105,176,Barren,0.21
101_105,176,Forest,0.25
101_105,176,Herbaceous,0.03
101_105,176,Shrubland,0.47
101_105,176,Water,0.02
101_105,176,Wetlands,0.02
101_105,194,Barren,0.11
101_105,194,Forest,0.26
101_105,194,Herbaceous,0.03
101_105,194,Shrubland,0.59
101_105,194,Water,0.00
101_105,194,Wetlands,0.00
101_105,270,Barren,0.10
101_105,270,Forest,0.20
101_105,270,Shrubland,0.71
101_106,176,Barren,0.13
101_106,176,Forest,0.41
101_106,176,Herbaceous,0.01
101_106,176,Shrubland,0.45
101_106,194,Barren,0.17
101_106,194,Forest,0.18
101_106,194,Herbaceous,0.02
101_106,194,Shrubland,0.64
101_106,270,Barren,0.09
101_106,270,Forest,0.57
101_106,270,Herbaceous,0.00
101_106,270,Shrubland,0.33
101_106,270,Wetlands,0.00
101_107,270,Barren,0.01
101_107,270,Forest,0.46
101_107,270,Herbaceous,0.01
101_107,270,Shrubland,0.51
101_107,270,Wetlands,0.00
101_108,270,Barren,0.02
101_108,270,Forest,0.55
101_108,270,Herbaceous,0.01
101_108,270,Shrubland,0.42
101_108,270,Water,0.00
101_109,270,Barren,0.00
101_109,270,Forest,0.39
101_109,270,Herbaceous,0.01
101_109,270,Shrubland,0.60
101_109,270,Wetlands,0.00
101_110,270,Barren,0.00
101_110,270,Barren,0.00
101_110,270,Forest,0.31
101_110,270,Forest,0.00
101_110,270,Herbaceous,0.01
101_110,270,Herbaceous,0.07
101_110,270,Shrubland,0.67
101_110,270,Shrubland,0.93
101_110,270,Wetlands,0.01
101_111,270,Barren,0.00
101_111,270,Forest,0.18
101_111,270,Herbaceous,0.01
101_111,270,Planted/Cultivated,0.00
101_111,270,Shrubland,0.81
101_112,270,Barren,0.01
101_112,270,Developed,0.03
101_112,270,Forest,0.11
101_112,270,Herbaceous,0.07
101_112,270,Planted/Cultivated,0.00
101_112,270,Shrubland,0.78
101_113,270,Forest,0.13
101_113,270,Herbaceous,0.01
101_113,270,Shrubland,0.85
101_114,270,Forest,0.03
101_114,270,Herbaceous,0.06
101_114,270,Shrubland,0.91
101_115,270,Barren,0.01
101_115,270,Forest,0.15
101_115,270,Herbaceous,0.03
101_115,270,Shrubland,0.82
101_116,270,Barren,0.01
101_116,270,Forest,0.30
101_116,270,Herbaceous,0.18
101_116,270,Shrubland,0.51
101_116,270,Wetlands,0.00
101_116,no data,Forest,0.89
101_116,no data,Herbaceous,0.01
101_116,no data,Shrubland,0.10
101_117,270,Forest,0.81
101_117,270,Herbaceous,0.01
101_117,270,Shrubland,0.18
101_117,270,Wetlands,0.00
101_117,no data,Forest,0.75
101_117,no data,Herbaceous,0.00
101_117,no data,Shrubland,0.24
101_32,019,Barren,0.01
101_32,019,Developed,0.19
101_32,019,Forest,0.07
101_32,019,Herbaceous,0.39
101_32,019,Shrubland,0.33
101_32,019,Water,0.00
101_32,019,Wetlands,0.00
101_32,035,Barren,0.05
101_32,035,Developed,0.13
101_32,035,Forest,0.04
101_32,035,Herbaceous,0.41
101_32,035,Shrubland,0.14
101_32,035,Water,0.20
101_32,035,Wetlands,0.04
101_32,037,Barren,0.12
101_32,037,Developed,0.24
101_32,037,Forest,0.02
101_32,037,Herbaceous,0.08
101_32,037,Shrubland,0.49
101_32,037,Water,0.05
101_32,037,Wetlands,0.00
101_32,no data,Barren,0.01
101_32,no data,Developed,0.00
101_32,no data,Herbaceous,0.00
101_32,no data,Shrubland,0.00
101_32,no data,Water,0.99
101_32,no data,Wetlands,0.00
101_33,035,Barren,0.00
101_33,035,Developed,0.06
101_33,035,Forest,0.32
101_33,035,Herbaceous,0.31
101_33,035,Shrubland,0.19
101_33,035,Water,0.07
101_33,035,Wetlands,0.04
101_33,037,Barren,0.01
101_33,037,Developed,0.11
101_33,037,Forest,0.00
101_33,037,Herbaceous,0.67
101_33,037,Shrubland,0.21
101_33,037,Water,0.00
101_33,no data,Herbaceous,0.06
101_33,no data,Water,0.94
101_34,035,Barren,0.00
101_34,035,Developed,0.04
101_34,035,Forest,0.58
101_34,035,Herbaceous,0.22
101_34,035,Shrubland,0.11
101_34,035,Water,0.02
101_34,035,Wetlands,0.02
101_35,035,Developed,0.05
101_35,035,Forest,0.87
101_35,035,Herbaceous,0.01
101_35,035,Shrubland,0.08
101_36,035,Developed,0.02
101_36,035,Forest,0.73
101_36,035,Herbaceous,0.13
101_36,035,Shrubland,0.12
101_36,035,Water,0.00
101_37,035,Developed,0.06
101_37,035,Forest,0.49
101_37,035,Herbaceous,0.31
101_37,035,Planted/Cultivated,0.01
101_37,035,Shrubland,0.12
101_37,035,Water,0.00
101_37,035,Wetlands,0.02
101_38,035,Developed,0.26
101_38,035,Forest,0.04
101_38,035,Herbaceous,0.47
101_38,035,Planted/Cultivated,0.12
101_38,035,Shrubland,0.07
101_38,035,Water,0.00
101_38,035,Wetlands,0.04
101_38,036,Barren,0.00
101_38,036,Developed,0.11
101_38,036,Forest,0.06
101_38,036,Herbaceous,0.25
101_38,036,Planted/Cultivated,0.41
101_38,036,Shrubland,0.09
101_38,036,Wetlands,0.08
101_39,036,Developed,0.26
101_39,036,Forest,0.04
101_39,036,Herbaceous,0.15
101_39,036,Planted/Cultivated,0.48
101_39,036,Shrubland,0.03
101_39,036,Water,0.03
101_39,036,Wetlands,0.02
10_14,014,Barren,0.02
10_14,014,Developed,0.07
10_14,014,Forest,0.84
10_14,014,Herbaceous,0.01
10_14,014,Shrubland,0.04
10_14,014,Water,0.03
10_14,no data,Water,1.00
101_40,036,Developed,0.59
101_40,036,Forest,0.00
101_40,036,Herbaceous,0.20
101_40,036,Planted/Cultivated,0.19
101_40,036,Shrubland,0.00
101_40,036,Water,0.01
101_40,036,Wetlands,0.00
101_41,036,Developed,0.98
101_41,036,Herbaceous,0.02
101_41,036,Shrubland,0.00
101_41,036,Water,0.00
101_42,036,Developed,0.95
101_42,036,Forest,0.03
101_42,036,Herbaceous,0.01
101_42,036,Shrubland,0.01
